text,date,user_location
"Akhirnya, gelaran balap Formula E Jakarta resmi akan digelar di Jakarta pada 4 Juni 2022 mendatang. FIA World Motor… https://t.co/sVTHIR6KTC",2022-03-27 11:54:50, Dimana-mana
"Dengan bangga dia berungkap ""Alhamdulillah, berhasil! Jakarta akan menjadi salah satu tuan rumah balap mobil bergen… https://t.co/oNUeCOSMGK",2022-03-27 11:54:31, Dimana-mana
"Semoga persiapan balapan formula e lancar dan sukses, agar warga miskin jakarta bisa mendapatkan rejeki tambahan https://t.co/E36E2t14xE",2022-03-27 11:27:30,
"@detikcom @fpdip_jakarta kehilangan jati dirinya. Ditengah ketua DPRD menggempur formula e, PDIP malah bangun citra… https://t.co/egm0njtnwz",2022-03-27 11:21:15,
"@rifkiaries @cokwik_ @GeiszChalifah Yakin nih gk pake apbd??
Cari tau dulu baru bacot!!!
https://t.co/dKdtfqXg0K",2022-03-27 11:03:49,
"@03__nakula MotoGP dan Formula E sukses, bukti Indonesia dan DKI level internasional ya @PDI_Perjuangan… https://t.co/WQvxw8GgrP",2022-03-27 10:49:08,
"@GeiszChalifah Katanya @PDI_Perjuangan jangan dibanding2in biaya MotoGP dan Formula E ya @psi_id @PSI_Jakarta 

Negara kok saingan propinsi",2022-03-27 10:43:07,
@03__nakula Wuiih mantab ada Formula E di Jakarta yang bisa di tonton oleh masyarakat ketimbang Mandalika yang meng… https://t.co/IYy16ZBpVJ,2022-03-27 10:23:35,
"@cokwik_ @GeiszChalifah Formula E tadinya di sekitar monas, sebagai icon Jakarta dan Indonesia, karna masalah polit… https://t.co/TFX64whAcf",2022-03-27 10:23:21,Jakarta
"@fighter97177651 @GunawanGiga @Uki23 Tidak ada yg dikerjakan sama sekali, malah dihabisin buat yg tdk penting buat… https://t.co/YBRwePLbtT",2022-03-27 10:05:08,
"Jakpro dpt penugasan jadi panitia lokal Formula E, terus ngebut bangun sirkuit
Kalau lihat disini, belum keliatan p… https://t.co/Fxt9ayWyJx",2022-03-27 09:58:00,"Osaka-shi Konohana-ku, Osaka"
"@GeiszChalifah Sampai sekarang Formula E itu ga pernah terbuka ttg rencana dan anggarannya, bahkan commitmen fee ny… https://t.co/gKRkP4IIp7",2022-03-27 09:53:33,Indonesia
"Konstruksi sirkuit Formula E Jakarta capai 87,9 persen https://t.co/ErWVs0pOiM https://t.co/3t9eElo8hm",2022-03-27 09:00:36,"Jakarta, Indonesia"
"@GeiszChalifah Maklum bang mereka itu cuma tahunya Jakarta tdk tahu daerah lain bahkan Indonesia
Padahal kalau tahu… https://t.co/4oi1FWivJe",2022-03-27 08:48:15,
MENYONGSONG FORMULA E JAKARTA.. https://t.co/ohBnyEj5UB,2022-03-27 07:01:57,"DKI Jakarta, Indonesia"
"@LOVE_AG4EVER Sirkuit Formula E Jakarta akan menjadi salah satu sirkuit Terbaik di dunia, sirkuit ini akan mendapat… https://t.co/d26G7K0n6f",2022-03-27 05:55:11,
@LOVE_AG4EVER @Pencerah__ Warga DKI Jakarta apa kagak merasa rugi besar dengan begitu besarnya pajak mereka dihabis… https://t.co/Z6NjhDX5hE,2022-03-27 05:37:06,Medan Indonesia
"@LordSunda @detikcom Nah itu tau pak... Anggaran Jakarta gede gitu, masak lebih mengutamakan stadion sama sirkuit f… https://t.co/uU2xTBYv7o",2022-03-27 05:26:56,
"Keseruan ini sebentar lagi akan hadir di @DKIJakarta.

Jakarta Formula E. Juni 2022.

https://t.co/GFFi7mUT6A",2022-03-27 05:16:21,
"@Uki23 Klo dirasa kacau ya bantu biar ga kacau
Ini event international, jakarta akan dilihat dunia lewat Formula E.… https://t.co/Od4V5fXO3b",2022-03-27 04:49:33,ᮓᮨᮁᮛ᮪ᮚ᮪
"@Dennysiregar7 Modal brp tuh formula E, penonton cuma 10.000, jadi kapan cuannya ? Cuma hamburin duit rakyat jakarta.",2022-03-27 04:14:28,
"Target Penonton Formula E di Jakarta Turun Jadi 10 ribu, Kenapa?- https://t.co/Kq0S36kCMA
#FormulaEJakarta https://t.co/KriLIxasJC",2022-03-27 04:07:30,"Ciamis, Indonesia"
"garansi 423miliar

3.JAKARTA BAYAR MAHAL,NEGARA LAIN BISA GRATIS!
selain menduga ada penyelewengan dana,negara lain… https://t.co/NwC7RluSEB",2022-03-27 03:45:50,"DKI Jakarta, Indonesia"
"pinak terheran heran,pasalnya pemprov dki sebelumnya menganggarkan hingga 1,13triliun rupiah utk pelaksanaan formul… https://t.co/sirAwin6aY",2022-03-27 03:40:55,"DKI Jakarta, Indonesia"
"@Uki23 dia gak sadar, sirkuit formula E kan adanya di ibukota jakarta, dia serang Jokowi bae..",2022-03-27 03:33:47,Provinsi Singosari
Target Penonton Langsung Formula E Jakarta Menyusut dari 50.000 Menjadi 10.000 https://t.co/WcGFgHRjds,2022-03-27 03:28:39,
"Nah, kalau gubernurnya ganti, gimana nasib Formula E? Minta diperpanjang, supaya semakin hancur dan tenggelam itu J… https://t.co/Zibcp04yAa",2022-03-27 03:22:56,
"Komite Pelaksana Formula E Jakarta Iriawan mengatakan, akibat revisi  dari Federasi Otomotif Internasional (FIA), t… https://t.co/tiLxKUGsz2",2022-03-27 02:06:29,Jakarta
"Ini itungan 80 % diluar paddock dan tribun.
Kok bisa buru2 ngeluarin angka begini?

https://t.co/hIhG0GLrNT",2022-03-27 01:27:55,Indonesia
